"","CODE_REGIS","Presi","VOTOS"
"382",3007,"Fajardo",339
"383",3007,"Fico",4960
"384",3007,"Petro",1560
"385",3010,"Fajardo",283
"386",3010,"Fico",4932
"387",3010,"Petro",958
"388",3013,"Fajardo",761
"389",3013,"Fico",7636
"390",3013,"Petro",7345
"391",3016,"Fajardo",262
"392",3016,"Fico",5724
"393",3016,"Petro",2098
"394",3019,"Fajardo",381
"395",3019,"Fico",8564
"396",3019,"Petro",1840
"397",3022,"Fajardo",1706
"398",3022,"Fico",14029
"399",3022,"Petro",18038
"400",3025,"Fajardo",178
"401",3025,"Fico",4227
"402",3025,"Petro",826
"403",3028,"Fajardo",249
"404",3028,"Fico",5506
"405",3028,"Petro",4153
"406",3031,"Fajardo",44
"407",3031,"Fico",1500
"408",3031,"Petro",800
"409",3034,"Fajardo",291
"410",3034,"Fico",3447
"411",3034,"Petro",2748
"412",3035,"Fajardo",235
"413",3035,"Fico",5499
"414",3035,"Petro",2162
"415",3037,"Fajardo",800
"416",3037,"Fico",8936
"417",3037,"Petro",6436
"418",3040,"Fajardo",267
"419",3040,"Fico",4597
"420",3040,"Petro",1981
"421",3043,"Fajardo",389
"422",3043,"Fico",5140
"423",3043,"Petro",4538
"424",3046,"Fajardo",1285
"425",3046,"Fico",18873
"426",3046,"Petro",11565
"427",3047,"Fajardo",107
"428",3047,"Fico",4164
"429",3047,"Petro",827
"430",3049,"Fajardo",380
"431",3049,"Fico",4967
"432",3049,"Petro",5145
"433",3052,"Fajardo",4860
"434",3052,"Fico",48102
"435",3052,"Petro",62551
"436",3055,"Fajardo",240
"437",3055,"Fico",2291
"438",3055,"Petro",832
"439",3058,"Fajardo",194
"440",3058,"Fico",3144
"441",3058,"Petro",1384
"442",3061,"Fajardo",107
"443",3061,"Fico",2134
"444",3061,"Petro",940
"445",5001,"Fajardo",25554
"446",5001,"Fico",77148
"447",5001,"Petro",141915
"448",5004,"Fajardo",251
"449",5004,"Fico",1220
"450",5004,"Petro",1137
"451",5005,"Fajardo",73
"452",5005,"Fico",486
"453",5005,"Petro",1276
"454",5006,"Fajardo",78
"455",5006,"Fico",425
"456",5006,"Petro",927
"457",5007,"Fajardo",1606
"458",5007,"Fico",3764
"459",5007,"Petro",9377
"460",5009,"Fajardo",105
"461",5009,"Fico",1029
"462",5009,"Petro",658
"463",5010,"Fajardo",88
"464",5010,"Fico",398
"465",5010,"Petro",797
"466",5013,"Fajardo",114
"467",5013,"Fico",2401
"468",5013,"Petro",1616
"469",5014,"Fajardo",183
"470",5014,"Fico",348
"471",5014,"Petro",1823
"472",5015,"Fajardo",111
"473",5015,"Fico",534
"474",5015,"Petro",1866
"475",5016,"Fajardo",223
"476",5016,"Fico",1035
"477",5016,"Petro",2602
"478",5018,"Fajardo",191
"479",5018,"Fico",673
"480",5018,"Petro",1134
"481",5022,"Fajardo",1125
"482",5022,"Fico",7954
"483",5022,"Petro",5212
"484",5025,"Fajardo",128
"485",5025,"Fico",1107
"486",5025,"Petro",1149
"487",5026,"Fajardo",77
"488",5026,"Fico",404
"489",5026,"Petro",1026
"490",5027,"Fajardo",54
"491",5027,"Fico",224
"492",5027,"Petro",666
"493",5028,"Fajardo",2438
"494",5028,"Fico",9404
"495",5028,"Petro",18697
"496",5031,"Fajardo",503
"497",5031,"Fico",1175
"498",5031,"Petro",2745
"499",5037,"Fajardo",89
"500",5037,"Fico",591
"501",5037,"Petro",651
"502",5040,"Fajardo",1061
"503",5040,"Fico",1812
"504",5040,"Petro",5922
"505",5041,"Fajardo",114
"506",5041,"Fico",310
"507",5041,"Petro",1051
"508",5043,"Fajardo",476
"509",5043,"Fico",3021
"510",5043,"Petro",4874
"511",5044,"Fajardo",196
"512",5044,"Fico",834
"513",5044,"Petro",1143
"514",5050,"Fajardo",63
"515",5050,"Fico",113
"516",5050,"Petro",625
"517",5059,"Fajardo",125
"518",5059,"Fico",1230
"519",5059,"Petro",1677
"520",5063,"Fajardo",62
"521",5063,"Fico",435
"522",5063,"Petro",1129
"523",5065,"Fajardo",93
"524",5065,"Fico",243
"525",5065,"Petro",770
"526",5070,"Fajardo",124
"527",5070,"Fico",2242
"528",5070,"Petro",1324
"529",5072,"Fajardo",51
"530",5072,"Fico",953
